Order ID,Order Date,Customer ID,Product Category,Region,Sales Channel,Payment Method,Quantity Sold,Price Per Unit,Discount Amount,Total Sales,month,quarter,year,Discount Applied
6688,2023-10-31,CUST635,Books,West,In-store,Credit Card,17.0,352.53,26.51,5993.009999999999,10,4,2023,1
6218,2023-03-31,CUST973,Beauty,West,In-store,Cash,18.0,7.01,0.0,126.17999999999999,3,1,2023,0
1208,2023-12-31,CUST299,Electronics,West,Online,Debit Card,8.0,36.78,0.0,294.24,12,4,2023,0
2121,2023-06-30,CUST180,Beauty,West,Online,Cash,11.0,459.49,15.18,5054.39,6,2,2023,1
7446,2023-12-31,CUST475,Electronics,East,Online,Cash,16.0,337.55,0.0,5400.8,12,4,2023,0
1464,2023-05-31,CUST558,Electronics,North,In-store,Bank Transfer,10.0,74.32,38.34,743.1999999999999,5,2,2023,1
8671,2023-06-30,CUST374,Beauty,South,In-store,Credit Card,16.0,429.68,3.32,6874.88,6,2,2023,1
4613,2023-12-31,CUST164,Toys,East,In-store,Debit Card,18.0,69.86,0.0,1257.48,12,4,2023,0
5297,2023-06-30,CUST745,Toys,West,In-store,Bank Transfer,8.0,444.32,27.17,3554.56,6,2,2023,1
2721,2023-06-30,CUST165,Toys,East,In-store,Credit Card,3.0,360.3,25.03,1080.9,6,2,2023,1
7327,2023-11-30,CUST427,Toys,East,In-store,Debit Card,2.0,392.73,19.35,785.46,11,4,2023,1
4934,2023-04-30,CUST487,Clothing,East,In-store,Bank Transfer,12.0,128.75,0.0,1545.0,4,2,2023,0
8077,2023-07-31,CUST897,Beauty,West,In-store,Cash,8.0,198.6,14.62,1588.8,7,3,2023,1
2586,2023-03-31,CUST929,Beauty,North,In-store,Bank Transfer,16.0,78.43,45.03,1254.88,3,1,2023,1
6281,2023-06-30,CUST468,Beauty,North,Online,Cash,14.0,207.04,36.42,2898.56,6,2,2023,1
6492,2023-03-31,CUST574,Electronics,North,In-store,Bank Transfer,10.0,221.67,4.26,2216.7,3,1,2023,1
4156,2023-01-31,CUST482,Home & Kitchen,North,In-store,Bank Transfer,7.0,86.49,45.81,605.43,1,1,2023,1
6559,2023-06-30,CUST740,Beauty,South,Online,Bank Transfer,2.0,375.85,43.65,751.7,6,2,2023,1
7178,2023-05-31,CUST425,Beauty,North,In-store,Bank Transfer,9.0,462.87,20.89,4165.83,5,2,2023,1
9569,2023-05-31,CUST954,Books,North,Online,Debit Card,11.0,280.62,0.0,3086.82,5,2,2023,0
5540,2023-06-30,CUST238,Books,South,In-store,Cash,10.0,123.12,0.0,1231.2,6,2,2023,0
6809,2023-12-31,CUST914,Clothing,East,In-store,Bank Transfer,10.0,10.79,49.13,107.89999999999999,12,4,2023,1
7679,2023-01-31,CUST952,Toys,South,In-store,Credit Card,10.0,38.25,44.84,382.5,1,1,2023,1
4407,2023-07-31,CUST253,Toys,South,In-store,Debit Card,2.0,371.49,4.76,742.98,7,3,2023,1
6912,2023-01-31,CUST608,Toys,East,Online,Credit Card,9.0,41.57,0.0,374.13,1,1,2023,0
9448,2023-04-30,CUST472,Home & Kitchen,South,Online,Debit Card,12.0,223.93,32.16,2687.16,4,2,2023,1
9967,2023-12-31,CUST682,Beauty,North,In-store,Cash,6.0,139.28,27.29,835.6800000000001,12,4,2023,1
8765,2023-10-31,CUST887,Clothing,South,In-store,Debit Card,19.0,280.62,15.41,5331.78,10,4,2023,1
4710,2023-01-31,CUST315,Electronics,West,In-store,Cash,15.0,450.81,34.15,6762.15,1,1,2023,1
4673,2023-04-30,CUST792,Clothing,West,Online,Bank Transfer,11.0,27.36,19.46,300.96,4,2,2023,1
4161,2023-05-31,CUST812,Home & Kitchen,East,In-store,Cash,11.0,5.06,21.63,55.66,5,2,2023,1
6760,2023-10-31,CUST307,Home & Kitchen,South,In-store,Debit Card,17.0,33.58,6.26,570.86,10,4,2023,1
1662,2023-06-30,CUST877,Clothing,North,In-store,Debit Card,5.0,358.76,23.73,1793.8,6,2,2023,1
5233,2023-06-30,CUST406,Clothing,South,Online,Credit Card,16.0,280.62,15.32,4489.92,6,2,2023,1
5826,2023-08-31,CUST250,Books,North,In-store,Debit Card,5.0,451.69,33.28,2258.45,8,3,2023,1
2368,2023-10-31,CUST213,Clothing,West,Online,Bank Transfer,2.0,374.46,44.39,748.92,10,4,2023,1
5901,2023-01-31,CUST535,Clothing,South,In-store,Bank Transfer,13.0,453.11,30.25,5890.43,1,1,2023,1
4024,2023-07-31,CUST114,Books,West,In-store,Credit Card,8.0,343.88,11.96,2751.04,7,3,2023,1
3816,2023-06-30,CUST283,Electronics,North,In-store,Credit Card,19.0,295.74,38.26,5619.06,6,2,2023,1
4406,2023-11-30,CUST642,Electronics,North,Online,Cash,7.0,443.71,0.0,3105.97,11,4,2023,0
3463,2023-06-30,CUST177,Books,North,In-store,Credit Card,19.0,393.02,43.78,7467.379999999999,6,2,2023,1
5558,2023-07-31,CUST281,Electronics,North,Online,Debit Card,15.0,384.06,33.33,5760.9,7,3,2023,1
1328,2023-05-31,CUST190,Clothing,East,In-store,Bank Transfer,15.0,161.47,0.0,2422.05,5,2,2023,0
4271,2023-03-31,CUST639,Beauty,North,Online,Credit Card,6.0,423.5,0.0,2541.0,3,1,2023,0
2144,2023-09-30,CUST865,Toys,South,In-store,Debit Card,8.0,189.06,0.0,1512.48,9,3,2023,0
2963,2023-10-31,CUST937,Electronics,East,In-store,Debit Card,3.0,342.03,0.0,1026.09,10,4,2023,0
1013,2023-12-31,CUST403,Electronics,South,In-store,Cash,18.0,99.12,36.16,1784.16,12,4,2023,1
6298,2023-01-31,CUST477,Toys,West,Online,Bank Transfer,13.0,197.53,32.76,2567.89,1,1,2023,1
9138,2023-05-31,CUST287,Toys,South,Online,Bank Transfer,7.0,213.63,7.98,1495.4099999999999,5,2,2023,1
6734,2023-07-31,CUST372,Electronics,North,In-store,Bank Transfer,10.0,280.62,29.07,2806.2,7,3,2023,1
5930,2023-03-31,CUST623,Clothing,East,Online,Cash,5.0,104.84,0.0,524.2,3,1,2023,0
1145,2023-03-31,CUST773,Clothing,South,Online,Debit Card,9.0,23.62,7.04,212.58,3,1,2023,1
6186,2023-11-30,CUST173,Beauty,North,In-store,Credit Card,16.0,121.75,26.43,1948.0,11,4,2023,1
1381,2023-06-30,CUST361,Clothing,North,Online,Cash,8.0,280.62,0.52,2244.96,6,2,2023,1
2635,2023-10-31,CUST252,Toys,North,Online,Bank Transfer,15.0,85.23,45.73,1278.45,10,4,2023,1
6113,2023-05-31,CUST722,Home & Kitchen,West,In-store,Bank Transfer,8.0,399.86,0.0,3198.88,5,2,2023,0
9612,2023-01-31,CUST422,Books,North,Online,Bank Transfer,15.0,265.66,25.35,3984.9000000000005,1,1,2023,1
7508,2023-08-31,CUST165,Electronics,South,Online,Credit Card,3.0,311.45,49.75,934.3499999999999,8,3,2023,1
9691,2023-04-30,CUST255,Books,East,Online,Debit Card,3.0,280.62,36.41,841.86,4,2,2023,1
5074,2023-12-31,CUST786,Home & Kitchen,East,In-store,Credit Card,9.0,143.07,33.23,1287.6299999999999,12,4,2023,1
2005,2023-01-31,CUST866,Clothing,North,In-store,Cash,9.0,193.97,22.97,1745.73,1,1,2023,1
4096,2023-01-31,CUST836,Clothing,South,In-store,Bank Transfer,15.0,305.6,0.0,4584.0,1,1,2023,0
9985,2023-04-30,CUST554,Clothing,West,Online,Bank Transfer,6.0,280.62,0.0,1683.72,4,2,2023,0
6693,2023-11-30,CUST794,Toys,South,Online,Debit Card,13.0,363.85,40.83,4730.05,11,4,2023,1
1142,2023-10-31,CUST825,Home & Kitchen,South,In-store,Credit Card,12.0,295.21,6.53,3542.5199999999995,10,4,2023,1
9761,2023-09-30,CUST564,Electronics,North,In-store,Debit Card,2.0,81.81,3.62,163.62,9,3,2023,1
5520,2023-04-30,CUST150,Beauty,East,In-store,Cash,7.0,67.34,7.94,471.38,4,2,2023,1
4782,2023-10-31,CUST466,Home & Kitchen,East,Online,Bank Transfer,9.0,464.23,43.91,4178.07,10,4,2023,1
3582,2023-08-31,CUST444,Books,North,In-store,Bank Transfer,6.0,271.2,29.03,1627.1999999999998,8,3,2023,1
4557,2023-01-31,CUST443,Beauty,East,In-store,Debit Card,3.0,481.03,4.34,1443.09,1,1,2023,1
2076,2023-02-28,CUST984,Toys,North,In-store,Bank Transfer,6.0,146.72,3.56,880.3199999999999,2,1,2023,1
6071,2023-04-30,CUST173,Books,North,Online,Bank Transfer,8.0,256.81,43.84,2054.48,4,2,2023,1
6464,2023-08-31,CUST697,Electronics,North,Online,Bank Transfer,10.0,325.18,40.41,3251.8,8,3,2023,1
5176,2023-12-31,CUST267,Electronics,East,In-store,Cash,10.0,237.89,0.0,2378.8999999999996,12,4,2023,0
5230,2023-04-30,CUST596,Toys,North,Online,Cash,15.0,203.54,0.0,3053.1,4,2,2023,0
4858,2023-03-31,CUST972,Electronics,South,In-store,Credit Card,3.0,280.62,0.0,841.86,3,1,2023,0
8875,2023-11-30,CUST262,Electronics,West,In-store,Cash,16.0,283.96,36.58,4543.36,11,4,2023,1
1870,2023-01-31,CUST220,Beauty,North,In-store,Cash,11.0,294.72,21.55,3241.92,1,1,2023,1
7245,2023-02-28,CUST261,Toys,South,Online,Credit Card,1.0,85.39,35.19,85.39,2,1,2023,1
5582,2023-09-30,CUST640,Books,West,Online,Bank Transfer,20.0,383.9,20.44,7678.0,9,3,2023,1
7545,2023-12-31,CUST635,Beauty,South,In-store,Credit Card,7.0,437.07,0.0,3059.49,12,4,2023,0
9072,2023-08-31,CUST883,Books,East,Online,Bank Transfer,4.0,239.8,5.86,959.2,8,3,2023,1
7498,2023-01-31,CUST947,Clothing,East,Online,Bank Transfer,19.0,449.81,12.68,8546.39,1,1,2023,1
5269,2023-10-31,CUST317,Books,South,In-store,Credit Card,5.0,406.91,27.46,2034.5500000000002,10,4,2023,1
8098,2023-03-31,CUST173,Toys,North,Online,Debit Card,7.0,347.13,37.34,2429.91,3,1,2023,1
8949,2023-07-31,CUST650,Beauty,South,In-store,Cash,5.0,286.6,47.78,1433.0,7,3,2023,1
6915,2023-02-28,CUST338,Electronics,West,Online,Cash,10.0,293.92,11.23,2939.2000000000003,2,1,2023,1
2955,2023-07-31,CUST956,Clothing,East,In-store,Cash,3.0,66.37,16.82,199.11,7,3,2023,1
2453,2023-10-31,CUST556,Books,South,Online,Bank Transfer,3.0,282.92,9.32,848.76,10,4,2023,1
6917,2023-08-31,CUST908,Books,West,In-store,Cash,10.0,369.97,0.0,3699.7000000000003,8,3,2023,0
2892,2023-03-31,CUST824,Electronics,North,In-store,Cash,9.0,497.19,11.64,4474.71,3,1,2023,1
8045,2023-12-31,CUST522,Beauty,West,In-store,Bank Transfer,7.0,137.12,0.0,959.84,12,4,2023,0
6059,2023-10-31,CUST282,Home & Kitchen,West,In-store,Bank Transfer,4.0,45.52,33.33,182.08,10,4,2023,1
3983,2023-10-31,CUST368,Toys,East,In-store,Debit Card,19.0,424.38,12.1,8063.22,10,4,2023,1
1824,2023-03-31,CUST786,Home & Kitchen,West,Online,Credit Card,6.0,280.62,9.62,1683.72,3,1,2023,1
3587,2023-02-28,CUST104,Home & Kitchen,South,Online,Debit Card,1.0,304.29,13.37,304.29,2,1,2023,1
9445,2023-05-31,CUST891,Toys,West,Online,Debit Card,10.0,136.61,0.0,1366.1000000000001,5,2,2023,0
2936,2023-03-31,CUST151,Home & Kitchen,North,Online,Cash,10.0,250.98,0.0,2509.7999999999997,3,1,2023,0
2824,2023-02-28,CUST477,Books,West,Online,Cash,10.0,287.12,24.99,2871.2,2,1,2023,1
5839,2023-05-31,CUST752,Clothing,West,Online,Cash,17.0,341.94,8.33,5812.98,5,2,2023,1
8424,2023-03-31,CUST604,Beauty,South,Online,Debit Card,19.0,469.94,5.65,8928.86,3,1,2023,1
2678,2023-05-31,CUST789,Home & Kitchen,South,In-store,Credit Card,10.0,479.1,16.42,4791.0,5,2,2023,1
9120,2023-11-30,CUST170,Clothing,West,Online,Cash,2.0,442.33,28.69,884.66,11,4,2023,1
1865,2023-06-30,CUST103,Books,East,In-store,Credit Card,6.0,177.13,0.0,1062.78,6,2,2023,0
9900,2023-04-30,CUST809,Books,West,Online,Cash,3.0,304.32,0.0,912.96,4,2,2023,0
8465,2023-12-31,CUST839,Clothing,South,Online,Bank Transfer,12.0,77.42,0.0,929.04,12,4,2023,0
6077,2023-03-31,CUST498,Beauty,West,Online,Bank Transfer,5.0,44.08,0.0,220.39999999999998,3,1,2023,0
5047,2023-11-30,CUST711,Electronics,South,Online,Bank Transfer,19.0,60.82,0.0,1155.58,11,4,2023,0
9680,2023-08-31,CUST226,Electronics,South,Online,Cash,17.0,407.74,0.0,6931.58,8,3,2023,0
5451,2023-02-28,CUST983,Books,West,In-store,Cash,8.0,158.43,0.0,1267.44,2,1,2023,0
5503,2023-11-30,CUST890,Clothing,North,Online,Cash,2.0,29.57,42.23,59.14,11,4,2023,1
7953,2023-03-31,CUST761,Electronics,East,In-store,Debit Card,10.0,146.31,0.0,1463.1,3,1,2023,0
7579,2023-12-31,CUST986,Home & Kitchen,North,In-store,Cash,14.0,129.19,2.95,1808.6599999999999,12,4,2023,1
8158,2023-10-31,CUST386,Beauty,North,In-store,Credit Card,16.0,253.97,6.06,4063.52,10,4,2023,1
4399,2023-06-30,CUST524,Books,East,In-store,Cash,16.0,144.37,15.01,2309.92,6,2,2023,1
9595,2023-04-30,CUST795,Clothing,South,In-store,Bank Transfer,15.0,280.62,39.22,4209.3,4,2,2023,1
6257,2023-11-30,CUST553,Electronics,North,In-store,Cash,10.0,408.98,10.36,4089.8,11,4,2023,1
8523,2023-01-31,CUST113,Clothing,East,Online,Credit Card,12.0,217.81,7.39,2613.7200000000003,1,1,2023,1
8694,2023-10-31,CUST807,Clothing,North,In-store,Credit Card,10.0,215.7,23.03,2157.0,10,4,2023,1
3329,2023-09-30,CUST719,Electronics,South,Online,Credit Card,7.0,365.48,47.05,2558.36,9,3,2023,1
4479,2023-05-31,CUST353,Beauty,South,In-store,Cash,3.0,113.76,0.0,341.28000000000003,5,2,2023,0
7827,2023-07-31,CUST373,Toys,East,Online,Cash,6.0,353.08,17.81,2118.48,7,3,2023,1
5907,2023-05-31,CUST306,Books,South,Online,Debit Card,18.0,320.06,11.58,5761.08,5,2,2023,1
2695,2023-09-30,CUST779,Beauty,North,In-store,Cash,20.0,138.76,0.11,2775.2,9,3,2023,1
6249,2023-03-31,CUST666,Toys,East,Online,Bank Transfer,11.0,428.81,24.0,4716.91,3,1,2023,1
8915,2023-08-31,CUST439,Beauty,North,Online,Debit Card,10.0,443.13,0.0,4431.3,8,3,2023,0
4676,2023-09-30,CUST640,Clothing,East,In-store,Cash,7.0,421.62,22.2,2951.34,9,3,2023,1
2515,2023-06-30,CUST250,Beauty,North,In-store,Cash,10.0,436.62,43.63,4366.2,6,2,2023,1
3773,2023-07-31,CUST688,Toys,East,Online,Debit Card,6.0,348.42,25.43,2090.52,7,3,2023,1
8436,2023-11-30,CUST478,Toys,East,Online,Credit Card,5.0,340.76,3.76,1703.8,11,4,2023,1
5697,2023-12-31,CUST200,Toys,North,Online,Cash,19.0,127.54,31.2,2423.26,12,4,2023,1
8713,2023-03-31,CUST712,Electronics,North,In-store,Cash,3.0,213.71,13.26,641.13,3,1,2023,1
1354,2023-03-31,CUST771,Beauty,North,Online,Credit Card,18.0,206.42,18.44,3715.56,3,1,2023,1
3934,2023-10-31,CUST417,Toys,South,Online,Debit Card,19.0,280.62,28.93,5331.78,10,4,2023,1
7330,2023-01-31,CUST597,Beauty,South,In-store,Credit Card,1.0,259.35,7.22,259.35,1,1,2023,1
3771,2023-07-31,CUST229,Beauty,East,Online,Debit Card,12.0,116.02,42.96,1392.24,7,3,2023,1
1521,2023-10-31,CUST298,Home & Kitchen,North,In-store,Cash,16.0,440.03,15.17,7040.48,10,4,2023,1
7260,2023-07-31,CUST459,Toys,North,Online,Bank Transfer,20.0,43.45,0.0,869.0,7,3,2023,0
4663,2023-06-30,CUST420,Toys,East,Online,Credit Card,10.0,279.17,0.0,2791.7000000000003,6,2,2023,0
2638,2023-04-30,CUST952,Electronics,West,In-store,Cash,17.0,280.62,0.0,4770.54,4,2,2023,0
1999,2023-12-31,CUST663,Toys,West,In-store,Bank Transfer,10.0,402.62,16.9,4026.2,12,4,2023,1
8744,2023-06-30,CUST683,Home & Kitchen,West,In-store,Cash,10.0,48.6,40.69,486.0,6,2,2023,1
9135,2023-08-31,CUST905,Home & Kitchen,South,In-store,Cash,14.0,170.21,25.81,2382.94,8,3,2023,1
9971,2023-11-30,CUST256,Toys,North,In-store,Bank Transfer,18.0,386.75,24.84,6961.5,11,4,2023,1
8484,2023-07-31,CUST315,Clothing,North,In-store,Credit Card,12.0,35.89,3.27,430.68,7,3,2023,1
7795,2023-02-28,CUST543,Toys,East,In-store,Cash,11.0,324.84,46.67,3573.24,2,1,2023,1
3320,2023-05-31,CUST560,Electronics,East,Online,Cash,9.0,368.22,44.99,3313.9800000000005,5,2,2023,1
4505,2023-09-30,CUST896,Toys,North,In-store,Bank Transfer,10.0,242.73,37.71,2427.2999999999997,9,3,2023,1
4388,2023-08-31,CUST202,Electronics,South,In-store,Credit Card,16.0,474.47,30.36,7591.52,8,3,2023,1
8878,2023-06-30,CUST343,Beauty,West,In-store,Credit Card,10.0,280.62,44.01,2806.2,6,2,2023,1
7090,2023-01-31,CUST143,Books,East,In-store,Credit Card,14.0,254.89,8.37,3568.46,1,1,2023,1
7883,2023-05-31,CUST788,Home & Kitchen,West,In-store,Bank Transfer,9.0,458.15,41.7,4123.349999999999,5,2,2023,1
5573,2023-08-31,CUST496,Electronics,East,Online,Bank Transfer,19.0,267.8,34.1,5088.2,8,3,2023,1
3219,2023-12-31,CUST229,Electronics,East,Online,Bank Transfer,11.0,294.16,1.06,3235.76,12,4,2023,1
2693,2023-03-31,CUST292,Books,North,Online,Debit Card,13.0,372.35,32.81,4840.55,3,1,2023,1
5431,2023-01-31,CUST856,Toys,North,In-store,Credit Card,10.0,280.62,19.13,2806.2,1,1,2023,1
7844,2023-12-31,CUST729,Clothing,West,In-store,Cash,20.0,416.28,43.4,8325.599999999999,12,4,2023,1
3717,2023-08-31,CUST396,Beauty,East,In-store,Credit Card,10.0,280.62,0.0,2806.2,8,3,2023,0
7828,2023-01-31,CUST602,Books,South,Online,Bank Transfer,6.0,43.51,0.0,261.06,1,1,2023,0
9603,2023-10-31,CUST358,Electronics,North,In-store,Debit Card,7.0,219.95,0.0,1539.6499999999999,10,4,2023,0
3675,2023-09-30,CUST235,Beauty,North,Online,Bank Transfer,15.0,117.23,35.6,1758.45,9,3,2023,1
9050,2023-07-31,CUST725,Electronics,West,Online,Cash,19.0,338.55,19.47,6432.45,7,3,2023,1
2448,2023-07-31,CUST387,Beauty,North,Online,Bank Transfer,17.0,280.62,32.89,4770.54,7,3,2023,1
8569,2023-07-31,CUST252,Books,East,Online,Credit Card,9.0,267.59,0.0,2408.31,7,3,2023,0
7480,2023-01-31,CUST528,Electronics,West,In-store,Cash,15.0,93.86,0.0,1407.9,1,1,2023,0
6032,2023-03-31,CUST203,Beauty,West,In-store,Cash,17.0,404.24,0.0,6872.08,3,1,2023,0
